zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
0,1,1945310,1386260,186770,345630,952670,2499210,799660,24015334,24408351,18486146,34210,75607,62050,16692,168614,4102100,11090,18002
0,2,1391180,764820,284280,313570,729100,2518330,861680,50692975,51280648,41683263,46590,427786,152320,93278,400843,27732716,16770,33919
0,3,865920,415530,311340,117530,482970,1683190,509540,53356694,53935928,41656318,42950,543411,127140,239864,718818,37167234,20440,51674
0,4,578350,191090,324100,50270,340420,1288020,385550,50179832,50642741,37483734,35850,553868,61190,323550,797094,37656278,16330,51763
0,5,909960,159930,702110,36260,550910,2378270,767710,125040878,126311367,91613425,98950,2422180,105360,1140426,1915629,101957760,45120,269033
0,6,358600,38130,306550,5910,252060,1038370,377110,188151431,190664028,97880805,115260,26201766,0,5377417,2226614,169117673,60940,3911168
60002,1,3340,2650,290,360,1480,3430,790,38913,39633,29081,80,162,130,26,652,7164,30,69
60002,2,2200,1360,450,340,1070,3550,950,80220,81127,60656,100,946,220,175,1081,44695,30,52
60002,3,1670,750,650,210,900,3230,920,104020,105258,76893,110,1165,220,585,2035,71897,40,95
60002,4,1290,390,770,110,760,2890,840,112108,113188,80299,90,1796,130,847,2402,83637,30,66
60002,5,2620,350,2130,130,1520,7360,2610,360324,363149,273611,250,5351,350,3277,5994,294219,110,630
60002,6,770,60,700,0,530,2270,810,278500,280901,179185,190,31624,0,4969,2966,249838,80,1737
60004,1,6420,5420,500,420,3160,5500,1110,66346,67950,44743,200,682,220,114,1437,11693,60,104
60004,2,4180,2690,920,490,2230,6740,1750,154805,157540,110293,320,4347,500,338,2693,85587,80,216
60004,3,3320,1970,1000,270,1790,5470,1170,205555,208326,143278,220,3663,480,1167,4445,144403,110,317
60004,4,2640,1010,1390,180,1590,5500,1480,229834,232871,153977,250,4213,170,1685,5112,171693,140,412
60004,5,6450,980,5180,230,3730,17340,5720,916912,925611,656688,760,18612,630,9409,17332,748189,360,1529
60004,6,3480,230,3170,70,2200,10970,4340,1376899,1393884,915471,920,141347,0,33337,17026,1247000,470,12766
60005,1,4160,3330,410,350,2130,4180,850,45660,46654,30486,160,580,140,38,641,8037,50,69
60005,2,2880,1810,640,370,1600,4710,1250,106902,108779,78738,250,3675,300,181,1230,59480,60,124
60005,3,2210,1290,650,220,1200,3790,940,135870,137657,101567,180,3578,320,522,2086,95560,80,156
60005,4,1440,610,700,100,860,2900,760,125106,126502,85503,130,2660,110,877,2673,93913,60,134
60005,5,3080,680,2280,100,1840,7780,2430,436177,440898,302017,390,10249,310,4703,8142,357394,220,1056
60005,6,1810,180,1580,40,1200,5480,2110,738268,747543,442976,500,109581,0,18662,9534,667777,290,10266
60007,1,4900,3970,540,320,2450,4750,860,56134,57428,38255,190,472,190,65,770,10158,40,75
60007,2,3880,2460,840,480,2090,6170,1510,144640,146777,109890,320,4094,470,325,1783,81110,60,127
60007,3,3070,1650,990,350,1720,5460,1400,189523,191847,145302,260,5367,420,1016,3630,133193,60,109
60007,4,2050,690,1160,160,1230,4420,1220,177756,179638,136018,180,4112,220,1385,3485,133327,60,171
60007,5,3700,570,2990,120,2210,9770,3080,504962,509399,389541,400,9874,450,4368,7528,412353,130,800
60007,6,880,70,780,30,580,2520,860,316121,318522,190109,240,47073,0,4221,2838,282573,110,2448
60008,1,3310,2520,360,410,1760,3940,1100,41177,41967,30608,120,582,100,21,399,7273,0,0
60008,2,2980,1610,700,590,1740,5630,1990,108502,109969,88841,170,2651,300,266,1373,58366,40,108
60008,3,1840,920,690,190,1020,3660,1140,113164,114468,89244,120,1981,270,643,2221,78386,40,84
60008,4,1150,400,650,90,680,2540,750,99078,99874,77731,100,1658,120,748,1875,74197,30,107
60008,5,1860,300,1470,90,1080,4850,1520,252012,254375,198386,190,3916,230,2052,3660,206007,70,300
60008,6,530,50,460,0,360,1590,600,184613,186033,120199,110,17681,0,2553,1920,166536,50,506
60010,1,4920,4310,370,180,2600,3460,490,46629,47996,32628,230,272,150,263,1746,9014,120,423
60010,2,2320,1630,470,170,1280,3290,610,86255,88183,58197,210,254,260,584,2716,47412,110,331
60010,3,1930,1140,590,130,1140,3180,670,120265,123144,75162,270,971,240,1076,4008,81954,130,543
60010,4,1650,710,770,130,1060,3270,850,144503,147386,84013,320,3508,120,1825,4895,105588,130,1020
60010,5,4830,930,3590,240,3140,12310,3900,699856,711258,434548,1060,18713,320,10760,19345,563346,490,3821
60010,6,6370,500,5700,140,4770,19140,7220,4592323,4657864,2117840,2710,784196,0,141038,54694,4187574,1420,117219
60012,1,1420,1250,100,50,590,980,150,13413,13792,9953,30,74,60,0,315,2269,0,0
60012,2,680,430,160,70,340,1100,280,25099,25656,18038,50,207,90,90,545,13579,40,107
60012,3,540,260,200,60,310,1020,290,33359,33883,22373,60,951,80,221,929,22561,0,0
60012,4,460,120,290,30,250,1110,370,40148,40788,27457,50,325,60,306,1022,29076,20,77
60012,5,1450,140,1240,70,820,4270,1580,206693,209019,153355,210,4472,170,2204,3919,168060,70,232
